epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,1383.55,1.2837,0.80581,1.02175,0.96253,0.96024,0.98622,0.60918,1.33945,0.90612,1.06207,0.0015248,0.0015248,0.0015248
74,1401.75,1.45046,0.8814,1.03724,0.94681,0.97196,0.98525,0.6333,1.29294,0.86088,1.04379,0.0015182,0.0015182,0.0015182
75,1419.98,1.30487,0.83364,1.04157,0.94681,0.97196,0.98525,0.6333,1.29294,0.86088,1.04379,0.0015116,0.0015116,0.0015116
76,1438.07,1.53862,0.85408,1.05239,0.96296,0.98131,0.98992,0.63046,1.28417,0.83726,1.03997,0.001505,0.001505,0.001505
77,1455.97,1.31785,0.84281,1.01452,0.96296,0.98131,0.98992,0.63046,1.28417,0.83726,1.03997,0.0014984,0.0014984,0.0014984
78,1473.98,1.29189,0.81539,1.03337,0.96112,0.99065,0.99064,0.6318,1.29679,0.83914,1.04519,0.0014918,0.0014918,0.0014918
79,1492.25,1.32382,0.79579,0.99521,0.96112,0.99065,0.99064,0.6318,1.29679,0.83914,1.04519,0.0014852,0.0014852,0.0014852
80,1510.21,1.27741,0.8002,0.96747,0.95333,0.99065,0.98928,0.64065,1.27581,0.82003,1.04082,0.0014786,0.0014786,0.0014786
81,1528.51,1.25418,0.76672,0.97922,0.95333,0.99065,0.98928,0.64065,1.27581,0.82003,1.04082,0.001472,0.001472,0.001472
82,1546.49,1.26769,0.76466,0.99153,0.95186,0.98131,0.98751,0.64336,1.26351,0.81125,1.0471,0.0014654,0.0014654,0.0014654
83,1565.32,1.35114,0.76532,0.9844,0.95186,0.98131,0.98751,0.64336,1.26351,0.81125,1.0471,0.0014588,0.0014588,0.0014588
84,1583.11,1.29203,0.7911,1.00781,0.93831,0.99065,0.98923,0.60375,1.30492,0.83481,1.06779,0.0014522,0.0014522,0.0014522
85,1601.07,1.29056,0.79541,1.02103,0.93831,0.99065,0.98923,0.60375,1.30492,0.83481,1.06779,0.0014456,0.0014456,0.0014456
86,1621.07,1.494,0.97235,1.13389,0.96366,0.99125,0.98972,0.61736,1.29249,0.82084,1.04964,0.001439,0.001439,0.001439
87,1640.2,1.32727,0.78776,1.0122,0.96366,0.99125,0.98972,0.61736,1.29249,0.82084,1.04964,0.0014324,0.0014324,0.0014324
88,1658.45,1.43709,0.846,1.05451,0.93839,0.99645,0.98157,0.57361,1.40948,0.88949,1.08338,0.0014258,0.0014258,0.0014258
89,1676.09,1.37046,0.81719,1.04145,0.93839,0.99645,0.98157,0.57361,1.40948,0.88949,1.08338,0.0014192,0.0014192,0.0014192
90,1694.33,1.49308,0.84221,1.06997,0.95529,0.99844,0.98653,0.64716,1.25456,0.82898,1.02726,0.0014126,0.0014126,0.0014126
91,1712.44,1.34854,0.7964,0.99505,0.95529,0.99844,0.98653,0.64716,1.25456,0.82898,1.02726,0.001406,0.001406,0.001406
92,1730.8,1.38632,0.80006,1.02312,0.94132,0.97196,0.97377,0.62533,1.23156,0.82672,1.0284,0.0013994,0.0013994,0.0013994
93,1748.2,1.29886,0.79607,1.0285,0.94132,0.97196,0.97377,0.62533,1.23156,0.82672,1.0284,0.0013928,0.0013928,0.0013928
94,1766.27,1.52984,0.89648,1.10235,0.93282,0.97196,0.97202,0.59367,1.30046,0.84838,1.06214,0.0013862,0.0013862,0.0013862
95,1783.66,1.32493,0.81141,1.0415,0.93282,0.97196,0.97202,0.59367,1.30046,0.84838,1.06214,0.0013796,0.0013796,0.0013796
96,1801.57,1.37033,0.84356,1.07074,0.94383,0.99065,0.98077,0.65032,1.19203,0.78821,1.02178,0.001373,0.001373,0.001373
97,1818.99,1.30405,0.77519,0.99601,0.94383,0.99065,0.98077,0.65032,1.19203,0.78821,1.02178,0.0013664,0.0013664,0.0013664
98,1837.32,1.30435,0.77446,1.01491,0.96384,0.99658,0.98658,0.61005,1.28374,0.80179,1.04745,0.0013598,0.0013598,0.0013598
99,1854.56,1.54569,0.81309,1.03151,0.96384,0.99658,0.98658,0.61005,1.28374,0.80179,1.04745,0.0013532,0.0013532,0.0013532
100,1872.56,1.41032,0.78774,1.06411,0.96333,0.98197,0.99227,0.62901,1.29519,0.81566,1.04693,0.0013466,0.0013466,0.0013466
101,1890.25,1.33351,0.75283,0.99722,0.96333,0.98197,0.99227,0.62901,1.29519,0.81566,1.04693,0.00134,0.00134,0.00134
102,1908.01,1.38274,0.78945,1.01959,0.9787,0.99065,0.99425,0.69029,1.08217,0.78085,0.97146,0.0013334,0.0013334,0.0013334
103,1925.53,1.29628,0.76109,0.97677,0.9787,0.99065,0.99425,0.69029,1.08217,0.78085,0.97146,0.0013268,0.0013268,0.0013268
104,1943.43,1.18985,0.74367,0.9712,1,0.99023,0.995,0.64649,1.18521,0.76791,1.01429,0.0013202,0.0013202,0.0013202
105,1960.75,1.37288,0.78193,1.03377,1,0.99023,0.995,0.64649,1.18521,0.76791,1.01429,0.0013136,0.0013136,0.0013136
106,1979.09,1.30793,0.74264,1.03753,0.97324,0.99065,0.99435,0.66663,1.14355,0.73818,1.00727,0.001307,0.001307,0.001307
107,1996.39,1.18659,0.69373,0.98955,0.97324,0.99065,0.99435,0.66663,1.14355,0.73818,1.00727,0.0013004,0.0013004,0.0013004
108,2014.2,1.28142,0.69972,0.9828,0.98123,0.97691,0.99371,0.68634,1.11266,0.7206,0.98597,0.0012938,0.0012938,0.0012938
109,2031.57,1.29974,0.73201,1.0133,0.98123,0.97691,0.99371,0.68634,1.11266,0.7206,0.98597,0.0012872,0.0012872,0.0012872
110,2049.53,1.23233,0.76776,0.9806,0.98092,0.96109,0.99336,0.69027,1.12608,0.73488,0.98773,0.0012806,0.0012806,0.0012806
111,2066.96,1.22626,0.70422,0.95809,0.98092,0.96109,0.99336,0.69027,1.12608,0.73488,0.98773,0.001274,0.001274,0.001274
112,2084.94,1.27493,0.70863,1.00451,0.97986,0.99065,0.99463,0.69689,1.08704,0.71354,0.98034,0.0012674,0.0012674,0.0012674
113,2102.49,1.11805,0.66761,0.94545,0.97986,0.99065,0.99463,0.69689,1.08704,0.71354,0.98034,0.0012608,0.0012608,0.0012608
114,2120.42,1.20007,0.71901,0.97894,0.97763,0.99065,0.99434,0.69131,1.09716,0.71209,0.98257,0.0012542,0.0012542,0.0012542
115,2137.7,1.24923,0.70797,1.01343,0.97763,0.99065,0.99434,0.69131,1.09716,0.71209,0.98257,0.0012476,0.0012476,0.0012476
116,2155.49,1.15964,0.70786,0.9381,0.97264,0.99675,0.99238,0.67186,1.16032,0.71112,0.99921,0.001241,0.001241,0.001241
117,2172.71,1.24651,0.7107,0.98294,0.97264,0.99675,0.99238,0.67186,1.16032,0.71112,0.99921,0.0012344,0.0012344,0.0012344
118,2190.54,1.2228,0.71693,0.96876,0.99056,0.9812,0.99406,0.70083,1.10102,0.69596,0.98445,0.0012278,0.0012278,0.0012278
119,2208.26,1.13218,0.63514,0.95488,0.99056,0.9812,0.99406,0.70083,1.10102,0.69596,0.98445,0.0012212,0.0012212,0.0012212
120,2226.65,1.11299,0.63543,0.93582,0.98192,0.98131,0.99406,0.71377,1.07151,0.69794,0.98358,0.0012146,0.0012146,0.0012146
